index,question,options,option1,option2,option3,option4,answer,explanation
1,Management of metadata information is done by ____________,"['a) file-organisation module', 'b) logical file system', 'c) basic file system', 'd) application programs']",a) file-organisation module,b) logical file system,c) basic file system,d) application programs,b,None.
2,A file control block contains the information about ____________,"['a) file ownership', 'b) file permissions', 'c) location of file contents', 'd) all of the mentioned']",a) file ownership,b) file permissions,c) location of file contents,d) all of the mentioned,d,None.
3,Which table contains the information about each mounted volume?,"['a) mount table', 'b) system-wide open-file table', 'c) per-process open-file table', 'd) all of the mentioned']",a) mount table,b) system-wide open-file table,c) per-process open-file table,d) all of the mentioned,d,None.
4,To create a new file application program calls ____________,"['a) basic file system', 'b) logical file system', 'c) file-organisation module', 'd) none of the mentioned']",a) basic file system,b) logical file system,c) file-organisation module,d) none of the mentioned,b,None.
5,What will happens when a process closes the file?,"['a) per-process table entry is not removed', 'b) system wide entry’s open count is decremented', 'c) all of the mentioned', 'd) none of the mentioned']",a) per-process table entry is not removed,b) system wide entry’s open count is decremented,c) all of the mentioned,d) none of the mentioned,b,None.
6,What is raw disk?,"['a) disk without file system', 'b) empty disk', 'c) disk lacking logical file system', 'd) disk having file system']",a) disk without file system,b) empty disk,c) disk lacking logical file system,d) disk having file system,a,None.
7,The data structure used for file directory is called ____________,"['a) mount table', 'b) hash table', 'c) file table', 'd) process table']",a) mount table,b) hash table,c) file table,d) process table,b,None.
8,In which type of allocation method each file occupy a set of contiguous block on the disk?,"['a) contiguous allocation', 'b) dynamic-storage allocation', 'c) linked allocation', 'd) indexed allocation']",a) contiguous allocation,b) dynamic-storage allocation,c) linked allocation,d) indexed allocation,a,None.
9,If the block of free-space list is free then bit will ____________,"['a) 1', 'b) 0', 'c) any of 0 or 1', 'd) none of the mentioned']",a) 1,b) 0,c) any of 0 or 1,d) none of the mentioned,a,None.
10,Which protocol establishes the initial logical connection between a server and a client?,"['a) transmission control protocol', 'b) user datagram protocol', 'c) mount protocol', 'd) datagram congestion control protocol']",a) transmission control protocol,b) user datagram protocol,c) mount protocol,d) datagram congestion control protocol,c,None.
