index,question,options,option1,option2,option3,option4,answer,explanation
1,"In distributed system, each processor has its own ___________","['a) local memory', 'b) clock', 'c) both local memory and clock', 'd) none of the mentioned']",a) local memory,b) clock,c) both local memory and clock,d) none of the mentioned,c,None.
2,If one site fails in distributed system then ___________,"['a) the remaining sites can continue operating', 'b) all the sites will stop working', 'c) directly connected sites will stop working', 'd) none of the mentioned']",a) the remaining sites can continue operating,b) all the sites will stop working,c) directly connected sites will stop working,d) none of the mentioned,a,None.
3,Network operating system runs on ___________,"['a) server', 'b) every system in the network', 'c) both server and every system in the network', 'd) none of the mentioned']",a) server,b) every system in the network,c) both server and every system in the network,d) none of the mentioned,a,None.
4,Which technique is based on compile-time program transformation for accessing remote data in a distributed-memory parallel system?,"['a) cache coherence scheme', 'b) computation migration', 'c) remote procedure call', 'd) message passing']",a) cache coherence scheme,b) computation migration,c) remote procedure call,d) message passing,b,None.
5,Logical extension of computation migration is ___________,"['a) process migration', 'b) system migration', 'c) thread migration', 'd) data migration']",a) process migration,b) system migration,c) thread migration,d) data migration,a,None.
6,Processes on the remote systems are identified by ___________,"['a) host ID', 'b) host name and identifier', 'c) identifier', 'd) process ID']",a) host ID,b) host name and identifier,c) identifier,d) process ID,b,None.
7,Which routing technique is used in a distributed system?,"['a) fixed routing', 'b) virtual routing', 'c) dynamic routing', 'd) all of the mentioned']",a) fixed routing,b) virtual routing,c) dynamic routing,d) all of the mentioned,d,None.
8,"In distributed systems, link and site failure is detected by ___________","['a) polling', 'b) handshaking', 'c) token passing', 'd) none of the mentioned']",a) polling,b) handshaking,c) token passing,d) none of the mentioned,b,None.
9,The capability of a system to adapt the increased service load is called ___________,"['a) scalability', 'b) tolerance', 'c) capacity', 'd) none of the mentioned']",a) scalability,b) tolerance,c) capacity,d) none of the mentioned,a,None.
10,Internet provides _______ for remote login,"['a) telnet', 'b) http', 'c) ftp', 'd) rpc']",a) telnet,b) http,c) ftp,d) rpc,a,None.
