index,question,options,option1,option2,option3,option4,answer,explanation
1,How many layers does the Internet model ISO consist of?,"['a) Three', 'b) Five', 'c) Seven', 'd) Eight']",a) Three,b) Five,c) Seven,d) Eight,c,None.
2,Which layer is responsible for The process-to-process delivery?,"['a) Network', 'b) Transport', 'c) Application', 'd) Physical']",a) Network,b) Transport,c) Application,d) Physical,b,None.
3,Which layer is the layer closest to the transmission medium?,"['a) Physical', 'b) Data link', 'c) Network', 'd) Transport']",a) Physical,b) Data link,c) Network,d) Transport,a,None.
4,Header are ______ when data packet moves from upper to the lower layers?,"['a) Modified', 'b) Removed', 'c) Added', 'd) All of the mentioned']",a) Modified,b) Removed,c) Added,d) All of the mentioned,c,None.
5,Which layer lies between the transport layer and data link layer?,"['a) Physical', 'b) Network', 'c) Application', 'd) Session']",a) Physical,b) Network,c) Application,d) Session,b,None.
6,Which of the following is an application layer service?,"['a) Mail service', 'b) File transfer', 'c) Remote access', 'd) All of the mentioned']",a) Mail service,b) File transfer,c) Remote access,d) All of the mentioned,d,None.
7,What are the different ways distributed may suffer?,"['a) Failure of a link', 'b) Failure of a site', 'c) Loss of message', 'd) All of the mentioned']",a) Failure of a link,b) Failure of a site,c) Loss of message,d) All of the mentioned,d,None.
8,What are design issues in distributed system structure?,"['a) Scalability', 'b) Fault-tolerance', 'c) Clustering', 'd) All of the mentioned']",a) Scalability,b) Fault-tolerance,c) Clustering,d) All of the mentioned,d,None.
9,In which OSI layer encryption and decryption happens?,"['a) Application', 'b) Presentation', 'c) Transport', 'd) Data Link']",a) Application,b) Presentation,c) Transport,d) Data Link,b,None.
10,What are the important steps followed when recovery from failure happens?,"['a) Post repairing integration with main system should happen smoothly and gracefully', 'b) Upon link failure both parties at end must not be notified', 'c) Fault recovery system must me adjusted', 'd) Failures are logged systematically']",a) Post repairing integration with main system should happen smoothly and gracefully,b) Upon link failure both parties at end must not be notified,c) Fault recovery system must me adjusted,d) Failures are logged systematically,a,None.
