index,question,options,option1,option2,option3,option4,answer,explanation
1,CPU fetches the instruction from memory according to the value of ____________,"['a) program counter', 'b) status register', 'c) instruction register', 'd) program status word']",a) program counter,b) status register,c) instruction register,d) program status word,a,None.
2,A memory buffer used to accommodate a speed differential is called ____________,"['a) stack pointer', 'b) cache', 'c) accumulator', 'd) disk buffer']",a) stack pointer,b) cache,c) accumulator,d) disk buffer,b,None.
3,Which one of the following is the address generated by CPU?,"['a) physical address', 'b) absolute address', 'c) logical address', 'd) none of the mentioned']",a) physical address,b) absolute address,c) logical address,d) none of the mentioned,c,None.
4,Run time mapping from virtual to physical address is done by ____________,"['a) Memory management unit', 'b) CPU', 'c) PCI', 'd) None of the mentioned']",a) Memory management unit,b) CPU,c) PCI,d) None of the mentioned,a,None.
5,Memory management technique in which system stores and retrieves data from secondary storage for use in main memory is called?,"['a) fragmentation', 'b) paging', 'c) mapping', 'd) none of the mentioned']",a) fragmentation,b) paging,c) mapping,d) none of the mentioned,b,None.
6,The address of a page table in memory is pointed by ____________,"['a) stack pointer', 'b) page table base register', 'c) page register', 'd) program counter']",a) stack pointer,b) page table base register,c) page register,d) program counter,b,None.
7,Program always deals with ____________,"['a) logical address', 'b) absolute address', 'c) physical address', 'd) relative address']",a) logical address,b) absolute address,c) physical address,d) relative address,a,None.
8,The page table contains ____________,"['a) base address of each page in physical memory', 'b) page offset', 'c) page size', 'd) none of the mentioned']",a) base address of each page in physical memory,b) page offset,c) page size,d) none of the mentioned,a,None.
9,What is compaction?,"['a) a technique for overcoming internal fragmentation', 'b) a paging technique', 'c) a technique for overcoming external fragmentation', 'd) a technique for overcoming fatal error']",a) a technique for overcoming internal fragmentation,b) a paging technique,c) a technique for overcoming external fragmentation,d) a technique for overcoming fatal error,c,None.
10,Operating System maintains the page table for ____________,"['a) each process', 'b) each thread', 'c) each instruction', 'd) each address']",a) each process,b) each thread,c) each instruction,d) each address,a,None.
