index,question,options,option1,option2,option3,option4,answer,explanation
1,A thread is also called ___________,"['a) Light Weight Process(LWP)', 'b) Heavy Weight Process(HWP)', 'c) Process', 'd) None of the mentioned']",a) Light Weight Process(LWP),b) Heavy Weight Process(HWP),c) Process,d) None of the mentioned,a,None.
2,"A thread shares its resources(like data section, code section, open files, signals) with ___________","['a) other process similar to the one that the thread belongs to', 'b) other threads that belong to similar processes', 'c) other threads that belong to the same process', 'd) all of the mentioned']",a) other process similar to the one that the thread belongs to,b) other threads that belong to similar processes,c) other threads that belong to the same process,d) all of the mentioned,c,None.
3,A heavy weight process ___________,"['a) has multiple threads of execution', 'b) has a single thread of execution', 'c) can have multiple or a single thread for execution', 'd) none of the mentioned']",a) has multiple threads of execution,b) has a single thread of execution,c) can have multiple or a single thread for execution,d) none of the mentioned,b,None.
4,A process having multiple threads of control implies ___________,"['a) it can do more than one task at a time', 'b) it can do only one task at a time, but much faster', 'c) it has to use only one thread per process', 'd) none of the mentioned']",a) it can do more than one task at a time,"b) it can do only one task at a time, but much faster",c) it has to use only one thread per process,d) none of the mentioned,a,None.
5,Multithreading an interactive program will increase responsiveness to the user by ___________,"['a) continuing to run even if a part of it is blocked', 'b) waiting for one part to finish before the other begins', 'c) asking the user to decide the order of multithreading', 'd) none of the mentioned']",a) continuing to run even if a part of it is blocked,b) waiting for one part to finish before the other begins,c) asking the user to decide the order of multithreading,d) none of the mentioned,a,None.
6,Resource sharing helps ___________,"['a) share the memory and resources of the process to which the threads belong', 'b) an application have several different threads of activity all within the same address space', 'c) reduce the address space that a process could potentially use', 'd) all of the mentioned']",a) share the memory and resources of the process to which the threads belong,b) an application have several different threads of activity all within the same address space,c) reduce the address space that a process could potentially use,d) all of the mentioned,d,None.
7,Multithreading on a multi – CPU machine ___________,"['a) decreases concurrency', 'b) increases concurrency', 'c) doesn’t affect the concurrency', 'd) can increase or decrease the concurrency']",a) decreases concurrency,b) increases concurrency,c) doesn’t affect the concurrency,d) can increase or decrease the concurrency,b,None.
8,The kernel is _______ of user threads,"['a) a part of', 'b) the creator of', 'c) unaware of', 'd) aware of']",a) a part of,b) the creator of,c) unaware of,d) aware of,c,None.
9,"If the kernel is single threaded, then any user level thread performing a blocking system call will ___________","['a) cause the entire process to run along with the other threads', 'b) cause the thread to block with the other threads running', 'c) cause the entire process to block even if the other threads are available to run', 'd) none of the mentioned']",a) cause the entire process to run along with the other threads,b) cause the thread to block with the other threads running,c) cause the entire process to block even if the other threads are available to run,d) none of the mentioned,c,None.
10,Because the kernel thread management is done by the Operating System itself ___________,"['a) kernel threads are faster to create than user threads', 'b) kernel threads are slower to create than user threads', 'c) kernel threads are easier to manage as well as create then user threads', 'd) none of the mentioned']",a) kernel threads are faster to create than user threads,b) kernel threads are slower to create than user threads,c) kernel threads are easier to manage as well as create then user threads,d) none of the mentioned,b,None.
11,"If a kernel thread performs a blocking system call, ____________","['a) the kernel can schedule another thread in the application for execution', 'b) the kernel cannot schedule another thread in the same application for execution', 'c) the kernel must schedule another thread of a different application for execution', 'd) the kernel must schedule another thread of the same application on a different processor']",a) the kernel can schedule another thread in the application for execution,b) the kernel cannot schedule another thread in the same application for execution,c) the kernel must schedule another thread of a different application for execution,d) the kernel must schedule another thread of the same application on a different processor,a,None.
12,Which of the following is FALSE?,"['a) Context switch time is longer for kernel level threads than for user level threads', 'b) User level threads do not need any hardware support', 'c) Related kernel level threads can be scheduled on different processors in a multiprocessor system', 'd) Blocking one kernel level thread blocks all other related threads']",a) Context switch time is longer for kernel level threads than for user level threads,b) User level threads do not need any hardware support,c) Related kernel level threads can be scheduled on different processors in a multiprocessor system,d) Blocking one kernel level thread blocks all other related threads,d,None.
