index,question,options,option1,option2,option3,option4,answer,explanation
1,Buffering is done to ____________,"['a) cope with device speed mismatch', 'b) cope with device transfer size mismatch', 'c) maintain copy semantics', 'd) all of the mentioned']",a) cope with device speed mismatch,b) cope with device transfer size mismatch,c) maintain copy semantics,d) all of the mentioned,d,None.
2,Caching is ________ spooling,"['a) same as', 'b) not the same as', 'c) all of the mentioned', 'd) none of the mentioned']",a) same as,b) not the same as,c) all of the mentioned,d) none of the mentioned,b,None.
3,Caching ____________,"['a) holds a copy of the data', 'b) is fast memory', 'c) holds the only copy of the data', 'd) holds output for a device']",a) holds a copy of the data,b) is fast memory,c) holds the only copy of the data,d) holds output for a device,a,None.
4,Spooling ____________,"['a) holds a copy of the data', 'b) is fast memory', 'c) holds the only copy of the data', 'd) holds output for a device']",a) holds a copy of the data,b) is fast memory,c) holds the only copy of the data,d) holds output for a device,c,None.
5,The ________ keeps state information about the use of I/O components,"['a) CPU', 'b) OS', 'c) kernel', 'd) shell']",a) CPU,b) OS,c) kernel,d) shell,c,None.
6,The kernel data structures include ____________,"['a) process table', 'b) open file table', 'c) close file table', 'd) all of the mentioned']",a) process table,b) open file table,c) close file table,d) all of the mentioned,b,None.
7,Windows NT uses a __________ implementation for I/O,"['a) message – passing', 'b) draft – passing', 'c) secondary memory', 'd) cache']",a) message – passing,b) draft – passing,c) secondary memory,d) cache,a,None.
8,A ________ is a full duplex connection between a device driver and a user level process,"['a) Bus', 'b) I/O operation', 'c) Stream', 'd) Flow']",a) Bus,b) I/O operation,c) Stream,d) Flow,c,None.
9,I/O is a _________ in system performance,"['a) major factor', 'b) minor factor', 'c) does not matter', 'd) none of the mentioned']",a) major factor,b) minor factor,c) does not matter,d) none of the mentioned,a,None.
10,"If the number of cycles spent busy – waiting is not excessive, then ____________","['a) interrupt driven I/O is more efficient than programmed I/O', 'b) programmed I/O is more efficient than interrupt driven I/O', 'c) both programmed and interrupt driven I/O are equally efficient', 'd) none of the mentioned']",a) interrupt driven I/O is more efficient than programmed I/O,b) programmed I/O is more efficient than interrupt driven I/O,c) both programmed and interrupt driven I/O are equally efficient,d) none of the mentioned,b,None.
