index,question,options,option1,option2,option3,option4,answer,explanation
1,Which one of the following is not shared by threads?,"['a) program counter', 'b) stack', 'c) both program counter and stack', 'd) none of the mentioned']",a) program counter,b) stack,c) both program counter and stack,d) none of the mentioned,c,None.
2,A process can be ___________,"['a) single threaded', 'b) multithreaded', 'c) both single threaded and multithreaded', 'd) none of the mentioned']",a) single threaded,b) multithreaded,c) both single threaded and multithreaded,d) none of the mentioned,c,None.
3,If one thread opens a file with read privileges then ___________,"['a) other threads in the another process can also read from that file', 'b) other threads in the same process can also read from that file', 'c) any other thread can not read from that file', 'd) all of the mentioned']",a) other threads in the another process can also read from that file,b) other threads in the same process can also read from that file,c) any other thread can not read from that file,d) all of the mentioned,b,None.
4,The time required to create a new thread in an existing process is ___________,"['a) greater than the time required to create a new process', 'b) less than the time required to create a new process', 'c) equal to the time required to create a new process', 'd) none of the mentioned']",a) greater than the time required to create a new process,b) less than the time required to create a new process,c) equal to the time required to create a new process,d) none of the mentioned,b,None.
5,When the event for which a thread is blocked occurs?,"['a) thread moves to the ready queue', 'b) thread remains blocked', 'c) thread completes', 'd) a new thread is provided']",a) thread moves to the ready queue,b) thread remains blocked,c) thread completes,d) a new thread is provided,a,None.
6,The jacketing technique is used to ___________,"['a) convert a blocking system call into non blocking system call', 'b) create a new thread', 'c) communicate between threads', 'd) terminate a thread']",a) convert a blocking system call into non blocking system call,b) create a new thread,c) communicate between threads,d) terminate a thread,a,None.
7,Termination of the process terminates ___________,"['a) first thread of the process', 'b) first two threads of the process', 'c) all threads within the process', 'd) no thread within the process']",a) first thread of the process,b) first two threads of the process,c) all threads within the process,d) no thread within the process,c,None.
8,Which one of the following is not a valid state of a thread?,"['a) running', 'b) parsing', 'c) ready', 'd) blocked']",a) running,b) parsing,c) ready,d) blocked,b,None.
9,The register context and stacks of a thread are deallocated when the thread?,"['a) terminates', 'b) blocks', 'c) unblocks', 'd) spawns']",a) terminates,b) blocks,c) unblocks,d) spawns,a,None.
10,Thread synchronization is required because ___________,"['a) all threads of a process share the same address space', 'b) all threads of a process share the same global variables', 'c) all threads of a process can share the same files', 'd) all of the mentioned']",a) all threads of a process share the same address space,b) all threads of a process share the same global variables,c) all threads of a process can share the same files,d) all of the mentioned,d,None.
