index,question,options,option1,option2,option3,option4,answer,explanation
1,"In segmentation, each address is specified by ____________","['a) a segment number & offset', 'b) an offset & value', 'c) a value & segment number', 'd) a key & value']",a) a segment number & offset,b) an offset & value,c) a value & segment number,d) a key & value,a,None.
2,In paging the user provides only ________ which is partitioned by the hardware into ________ and ______,"['a) one address, page number, offset', 'b) one offset, page number, address', 'c) page number, offset, address', 'd) none of the mentioned']","a) one address, page number, offset","b) one offset, page number, address","c) page number, offset, address",d) none of the mentioned,a,None.
3,Each entry in a segment table has a ____________,"['a) segment base', 'b) segment peak', 'c) segment value', 'd) none of the mentioned']",a) segment base,b) segment peak,c) segment value,d) none of the mentioned,a,None.
4,The segment base contains the ____________,"['a) starting logical address of the process', 'b) starting physical address of the segment in memory', 'c) segment length', 'd) none of the mentioned']",a) starting logical address of the process,b) starting physical address of the segment in memory,c) segment length,d) none of the mentioned,b,None.
5,The segment limit contains the ____________,"['a) starting logical address of the process', 'b) starting physical address of the segment in memory', 'c) segment length', 'd) none of the mentioned']",a) starting logical address of the process,b) starting physical address of the segment in memory,c) segment length,d) none of the mentioned,c,None.
6,The offset ‘d’ of the logical address must be ____________,"['a) greater than segment limit', 'b) between 0 and segment limit', 'c) between 0 and the segment number', 'd) greater than the segment number']",a) greater than segment limit,b) between 0 and segment limit,c) between 0 and the segment number,d) greater than the segment number,b,None.
7,If the offset is legal ____________,"['a) it is used as a physical memory address itself', 'b) it is subtracted from the segment base to produce the physical memory address', 'c) it is added to the segment base to produce the physical memory address', 'd) none of the mentioned']",a) it is used as a physical memory address itself,b) it is subtracted from the segment base to produce the physical memory address,c) it is added to the segment base to produce the physical memory address,d) none of the mentioned,a,None.
8,When the entries in the segment tables of two different processes point to the same physical location ____________,"['a) the segments are invalid', 'b) the processes get blocked', 'c) segments are shared', 'd) all of the mentioned']",a) the segments are invalid,b) the processes get blocked,c) segments are shared,d) all of the mentioned,c,None.
9,The protection bit is 0/1 based on ____________,"['a) write only', 'b) read only', 'c) read – write', 'd) none of the mentioned']",a) write only,b) read only,c) read – write,d) none of the mentioned,c,None.
10,"If there are 32 segments, each of size 1Kb, then the logical address should have ____________","['a) 13 bits', 'b) 14 bits', 'c) 15 bits', 'd) 16 bits']",a) 13 bits,b) 14 bits,c) 15 bits,d) 16 bits,a,"To specify a particular segment, 5 bits are required. To select a particular byte after selecting a page, 10 more bits are required. Hence 15 bits are required."
11,Consider a computer with 8 Mbytes of main memory and a 128K cache,"['a) 2048', 'b) 256', 'c) 64', 'd) 8']",a) 2048,b) 256,c) 64,d) 8,c,None.
12,A multilevel page table is preferred in comparison to a single level page table for translating virtual address to physical address because ____________,"['a) it reduces the memory access time to read or write a memory location', 'b) it helps to reduce the size of page table needed to implement the virtual address space of a process', 'c) it is required by the translation lookaside buffer', 'd) it helps to reduce the number of page faults in page replacement algorithms']",a) it reduces the memory access time to read or write a memory location,b) it helps to reduce the size of page table needed to implement the virtual address space of a process,c) it is required by the translation lookaside buffer,d) it helps to reduce the number of page faults in page replacement algorithms,b,None.
