index,question,options,option1,option2,option3,option4,answer,explanation
1,Tertiary storage is built with ____________,"['a) a lot of money', 'b) unremovable media', 'c) removable media', 'd) secondary storage']",a) a lot of money,b) unremovable media,c) removable media,d) secondary storage,c,None.
2,Floppy disks are examples of ____________,"['a) primary storage', 'b) secondary storage', 'c) tertiary storage', 'd) none of the mentioned']",a) primary storage,b) secondary storage,c) tertiary storage,d) none of the mentioned,c,None.
3,What is a magneto-optic disk?,"['a) primary storage', 'b) secondary storage', 'c) removable disk', 'd) none of the mentioned']",a) primary storage,b) secondary storage,c) removable disk,d) none of the mentioned,c,None.
4,The magneto-optic head flies ___________ the disk surface than a magnetic disk head does,"['a) much farther from', 'b) much closer to', 'c) at the same distance as', 'd) none of the mentioned']",a) much farther from,b) much closer to,c) at the same distance as,d) none of the mentioned,a,None.
5,Optical disks ______ magnetism,"['a) use', 'b) do not use', 'c) may use', 'd) none of the mentioned']",a) use,b) do not use,c) may use,d) none of the mentioned,b,None.
6,The phase change disk is coated with a material that can freeze into either _______ or ________ state,"['a) crystalline, solid', 'b) ice, amorphous', 'c) crystalline, liquid', 'd) crystalline, amorphous']","a) crystalline, solid","b) ice, amorphous","c) crystalline, liquid","d) crystalline, amorphous",d,None.
7,WORM stands for ____________,"['a) write only, read mandatory', 'b) write once, read many times', 'c) write only once, read multiple', 'd) none of the mentioned']","a) write only, read mandatory","b) write once, read many times","c) write only once, read multiple",d) none of the mentioned,b,None.
8,A tape holds _______ data than optical or magnetic disk cartridge,"['a) lesser', 'b) more', 'c) much lesser', 'd) none of the mentioned']",a) lesser,b) more,c) much lesser,d) none of the mentioned,b,None.
9,Random access to tape is _______ a disk seek,"['a) much slower than', 'b) much faster than', 'c) comparable to', 'd) none of the mentioned']",a) much slower than,b) much faster than,c) comparable to,d) none of the mentioned,a,None.
10,A typical tape drive is ________ a typical disk drive,"['a) more expensive than', 'b) cheaper than', 'c) of the same cost as', 'd) none of the mentioned']",a) more expensive than,b) cheaper than,c) of the same cost as,d) none of the mentioned,a,None.
11,The surface area of tape is ________ the surface area of a disk,"['a) much lesser than', 'b) much larger than', 'c) equal to', 'd) none of the mentioned']",a) much lesser than,b) much larger than,c) equal to,d) none of the mentioned,b,None.
