index,question,options,option1,option2,option3,option4,answer,explanation
1,"In internal fragmentation, memory is internal to a partition and ____________","['a) is being used', 'b) is not being used', 'c) is always used', 'd) none of the mentioned']",a) is being used,b) is not being used,c) is always used,d) none of the mentioned,b,None.
2,A solution to the problem of external fragmentation is ____________,"['a) compaction', 'b) larger memory space', 'c) smaller memory space', 'd) none of the mentioned']",a) compaction,b) larger memory space,c) smaller memory space,d) none of the mentioned,a,None.
3,Another solution to the problem of external fragmentation problem is to ____________,"['a) permit the logical address space of a process to be noncontiguous', 'b) permit smaller processes to be allocated memory at last', 'c) permit larger processes to be allocated memory at last', 'd) all of the mentioned']",a) permit the logical address space of a process to be noncontiguous,b) permit smaller processes to be allocated memory at last,c) permit larger processes to be allocated memory at last,d) all of the mentioned,a,None.
4,"If relocation is static and is done at assembly or load time, compaction _________","['a) cannot be done', 'b) must be done', 'c) must not be done', 'd) can be done']",a) cannot be done,b) must be done,c) must not be done,d) can be done,a,None.
5,"The disadvantage of moving all process to one end of memory and all holes to the other direction, producing one large hole of available memory is ____________","['a) the cost incurred', 'b) the memory used', 'c) the CPU used', 'd) all of the mentioned']",a) the cost incurred,b) the memory used,c) the CPU used,d) all of the mentioned,a,None.
6,__________ is generally faster than _________ and _________,"['a) first fit, best fit, worst fit', 'b) best fit, first fit, worst fit', 'c) worst fit, best fit, first fit', 'd) none of the mentioned']","a) first fit, best fit, worst fit","b) best fit, first fit, worst fit","c) worst fit, best fit, first fit",d) none of the mentioned,a,None.
7,External fragmentation exists when?,"['a) enough total memory exists to satisfy a request but it is not contiguous', 'b) the total memory is insufficient to satisfy a request', 'c) a request cannot be satisfied even when the total memory is free', 'd) none of the mentioned']",a) enough total memory exists to satisfy a request but it is not contiguous,b) the total memory is insufficient to satisfy a request,c) a request cannot be satisfied even when the total memory is free,d) none of the mentioned,a,None.
8,External fragmentation will not occur when?,"['a) first fit is used', 'b) best fit is used', 'c) worst fit is used', 'd) no matter which algorithm is used, it will always occur']",a) first fit is used,b) best fit is used,c) worst fit is used,"d) no matter which algorithm is used, it will always occur",d,None.
9,Sometimes the overhead of keeping track of a hole might be ____________,"['a) larger than the memory', 'b) larger than the hole itself', 'c) very small', 'd) all of the mentioned']",a) larger than the memory,b) larger than the hole itself,c) very small,d) all of the mentioned,b,None.
10,"When the memory allocated to a process is slightly larger than the process, then ____________","['a) internal fragmentation occurs', 'b) external fragmentation occurs', 'c) both internal and external fragmentation occurs', 'd) neither internal nor external fragmentation occurs']",a) internal fragmentation occurs,b) external fragmentation occurs,c) both internal and external fragmentation occurs,d) neither internal nor external fragmentation occurs,a,None.
