index,question,options,option1,option2,option3,option4,answer,explanation
1,Whenever a process needs I/O to or from a disk it issues a ______________,"['a) system call to the CPU', 'b) system call to the operating system', 'c) a special procedure', 'd) all of the mentioned']",a) system call to the CPU,b) system call to the operating system,c) a special procedure,d) all of the mentioned,b,None.
2,"If a process needs I/O to or from a disk, and if the drive or controller is busy then ____________","['a) the request will be placed in the queue of pending requests for that drive', 'b) the request will not be processed and will be ignored completely', 'c) the request will be not be placed', 'd) none of the mentioned']",a) the request will be placed in the queue of pending requests for that drive,b) the request will not be processed and will be ignored completely,c) the request will be not be placed,d) none of the mentioned,a,None.
3,Consider a disk queue with requests for I/O to blocks on cylinders,"['98 183 37 122 14 124 65 67', 'Considering FCFS (first cum first served) scheduling, the total number of head movements is, if the disk head is initially at 53 is?', 'a) 600', 'b) 620']",98 183 37 122 14 124 65 67,"Considering FCFS (first cum first served) scheduling, the total number of head movements is, if the disk head is initially at 53 is?",a) 600,b) 620,d,None.
4,Consider a disk queue with requests for I/O to blocks on cylinders,"['98 183 37 122 14 124 65 67', 'Considering SSTF (shortest seek time first) scheduling, the total number of head movements is, if the disk head is initially at 53 is?', 'a) 224', 'b) 236']",98 183 37 122 14 124 65 67,"Considering SSTF (shortest seek time first) scheduling, the total number of head movements is, if the disk head is initially at 53 is?",a) 224,b) 236,b,None.
5,Random access in magnetic tapes is _________ compared to magnetic disks,"['a) fast', 'b) very fast', 'c) slow', 'd) very slow']",a) fast,b) very fast,c) slow,d) very slow,d,None.
6,Magnetic tape drives can write data at a speed ________ disk drives,"['a) much lesser than', 'b) comparable to', 'c) much faster than', 'd) none of the mentioned']",a) much lesser than,b) comparable to,c) much faster than,d) none of the mentioned,b,None.
7,"On media that use constant linear velocity (CLV), the _____________ is uniform","['a) density of bits on the disk', 'b) density of bits per sector', 'c) the density of bits per track', 'd) none of the mentioned']",a) density of bits on the disk,b) density of bits per sector,c) the density of bits per track,d) none of the mentioned,c,The farther a track is from the center of the disk.
8,"SSTF algorithm, like SJF __________ of some requests","['a) may cause starvation', 'b) will cause starvation', 'c) does not cause starvation', 'd) causes aging']",a) may cause starvation,b) will cause starvation,c) does not cause starvation,d) causes aging,a,None.
9,"In the ______ algorithm, the disk arm starts at one end of the disk and moves toward the other end, servicing requests till the other end of the disk","['a) LOOK', 'b) SCAN', 'c) C-SCAN', 'd) C-LOOK']",a) LOOK,b) SCAN,c) C-SCAN,d) C-LOOK,b,None.
10,"In the _______ algorithm, the disk head moves from one end to the other, servicing requests along the way","['a) LOOK', 'b) SCAN', 'c) C-SCAN', 'd) C-LOOK']",a) LOOK,b) SCAN,c) C-SCAN,d) C-LOOK,c,None.
11,"In the ______ algorithm, the disk arm goes as far as the final request in each direction, then reverses direction immediately without going to the end of the disk","['a) LOOK', 'b) SCAN', 'c) C-SCAN', 'd) C-LOOK']",a) LOOK,b) SCAN,c) C-SCAN,d) C-LOOK,a,None.
