index,question,options,option1,option2,option3,option4,answer,explanation
1,Linux uses a time-sharing algorithm ___________,"['a) to pair preemptive scheduling between multiple processes', 'b) for tasks where absolute priorities are more important than fairness', 'c) all of the mentioned', 'd) none of the mentioned']",a) to pair preemptive scheduling between multiple processes,b) for tasks where absolute priorities are more important than fairness,c) all of the mentioned,d) none of the mentioned,a,None.
2,The first linux kernel which supports the SMP hardware?,"['a) linux 0.1', 'b) linux 1.0', 'c) linux 1.2', 'd) linux 2.0']",a) linux 0.1,b) linux 1.0,c) linux 1.2,d) linux 2.0,d,None.
3,Which one of the following linux file system does not support journaling feature?,"['a) ext2', 'b) ext3', 'c) ext4', 'd) none of the mentioned']",a) ext2,b) ext3,c) ext4,d) none of the mentioned,a,None.
4,Which binary format is supported by linux?,"['a) a.out', 'b) elf', 'c) both a.out and ELF', 'd) none of the mentioned']",a) a.out,b) elf,c) both a.out and ELF,d) none of the mentioned,c,None.
5,Which one of the following bootloader is not used by linux?,"['a) GRUB', 'b) LILO', 'c) NTLDR', 'd) None of the mentioned']",a) GRUB,b) LILO,c) NTLDR,d) None of the mentioned,c,None.
6,The first process launched by the linux kernel is ___________,"['a) init process', 'b) zombie process', 'c) batch process', 'd) boot process']",a) init process,b) zombie process,c) batch process,d) boot process,a,None.
7,Which desktop environment is not used in any linux distribution?,"['a) gnome', 'b) kde', 'c) unity', 'd) none of the mentioned']",a) gnome,b) kde,c) unity,d) none of the mentioned,d,None.
8,Standard set of functions through which interacts with kernel is defined by ___________,"['a) system libraries', 'b) kernel code', 'c) compilers', 'd) utility programs']",a) system libraries,b) kernel code,c) compilers,d) utility programs,a,None.
9,What is Linux?,"['a) single user, single tasking', 'b) single user, multitasking', 'c) multi user, single tasking', 'd) multi user, multitasking']","a) single user, single tasking","b) single user, multitasking","c) multi user, single tasking","d) multi user, multitasking",d,None.
10,Which one of the following is not a linux distribution?,"['a) debian', 'b) gentoo', 'c) open SUSE', 'd) multics']",a) debian,b) gentoo,c) open SUSE,d) multics,d,None.
